phase,reuse,replicate,variant,curve_index,x,seed,samples,estimate,exact,error,empirical_stderr
1,10,0,default_uniform,9,1.0,2349403645835971586,10000,-0.2844731668262398,-0.28394020618429017,-0.0005329606419496313,0.0004623890566348473
1,10,0,default_uniform,9,2.0,2349403645835971587,10000,-0.12758315210911242,-0.1273050380753717,-0.0002781140337407284,0.0002553006893239284
1,10,0,grid_short_uniform,0,-2.0,10621693258896970369,10000,-0.8879162671872056,-0.8884494598171035,0.0005331926298979273,0.0008770708943713522
1,10,0,grid_short_uniform,0,-1.0,10621693258896970370,10000,-0.7452533911151386,-0.7455466141264027,0.0002932230112641099,0.0006022202891397671
1,10,0,grid_short_uniform,0,0.0,10621693258896970371,10000,-0.5189866657444185,-0.5187412158785353,-0.0002454498658832627,0.0007088773901457031
1,10,0,grid_short_uniform,0,1.0,10621693258896970372,10000,-0.2841175620405989,-0.28394020618429017,-0.0001773558563087363,0.0006510579815839916
1,10,0,grid_short_uniform,0,2.0,10621693258896970373,10000,-0.12663646645257046,-0.1273050380753717,0.0006685716228012339,0.0003263706881818135
1,10,0,grid_short_uniform,1,-2.0,2960138767639632336,10000,-0.8880204777487921,-0.8884494598171035,0.00042898206831143426,0.0009108179111876359
1,10,0,grid_short_uniform,1,-1.0,2960138767639632337,10000,-0.7459190484523568,-0.7455466141264027,-0.0003724343259541296,0.0005617201347825712
1,10,0,grid_short_uniform,1,0.0,2960138767639632338,10000,-0.5176697839222208,-0.5187412158785353,0.0010714319563144281,0.0006993591649702862
1,10,0,grid_short_uniform,1,1.0,2960138767639632339,10000,-0.2836634406094223,-0.28394020618429017,0.00027676557486788766,0.0005947486187318287
1,10,0,grid_short_uniform,1,2.0,2960138767639632340,10000,-0.12727892292741216,-0.1273050380753717,2.611514795952674e-05,0.0003313739947979658
1,10,0,grid_short_uniform,2,-2.0,13256011838531777568,10000,-0.8892764604762601,-0.8884494598171035,-0.0008270006591565293,0.0007404564815008896
1,10,0,grid_short_uniform,2,-1.0,13256011838531777569,10000,-0.7450128416147002,-0.7455466141264027,0.0005337725117025016,0.0005611428387785209
1,10,0,grid_short_uniform,2,0.0,13256011838531777570,10000,-0.5201388134562525,-0.5187412158785353,-0.00139759757771718,0.0007014897344997663
1,10,0,grid_short_uniform,2,1.0,13256011838531777571,10000,-0.2835682551639232,-0.28394020618429017,0.00037195102036696737,0.0006112904962970039
1,10,0,grid_short_uniform,2,2.0,13256011838531777572,10000,-0.12770917374064386,-0.1273050380753717,-0.0004041356652721706,0.00033614590257495254
1,10,0,grid_short_uniform,3,-2.0,15617231561092284884,10000,-0.8887156918178092,-0.8884494598171035,-0.00026623200070563513,0.0008864719129472752
1,10,0,grid_short_uniform,3,-1.0,15617231561092284885,10000,-0.7462615043380944,-0.7455466141264027,-0.0007148902116916878,0.00048689335064150977
1,10,0,grid_short_uniform,3,0.0,15617231561092284886,10000,-0.5193224023463412,-0.5187412158785353,-0.0005811864678059164,0.0007142571776804061
1,10,0,grid_short_uniform,3,1.0,15617231561092284887,10000,-0.2839226858919626,-0.28394020618429017,1.752029232754415e-05,0.0006086049011997523
1,10,0,grid_short_uniform,3,2.0,15617231561092284888,10000,-0.12793245041795634,-0.1273050380753717,-0.000627412342584649,0.000378931731016193
